40	1	39	48
7	2	4	6
31	3	29	32
19	4	15	15
2	5	0	2
8.2	6	32	34
1	7	1,17	1
15	8	12	12
21.1	9	18	17
21.2	10	26	17
16.1	11	13	20
45	12	46	38
9	13	6	7
5	14	31	4
29	15	28	25
18	16	14	14
35	17	45	30
11	18	8	8
10.1	19	7	31
20	20	16	16
14	21	11	10
36	22	33	33
6	23	3	5
10.2	24	7	31
16.2	25	13	41
101:42,50 (merge to 101)	26	41,49	39,46
12	27	9	24
25	28	21	0
37	29	34	43
23	30	19	19
34	31	38	29
4	32	2	11
17	33	0	13
24	34	20	21
38	35	36	45,51
39	36	37	47
48	37	47	42
13	38	10	9
51	39	50	50
41	40	40	35
22	41	23	18
47	42	44	40
32	43	30	27
26	44	22	22
43	45	42	36
28	46	25	42
33	47	0,35	28
46	48	43	0
27	49	24	23
8.1	50	5	34
30	28B	27	26
3	30F	0	3
44	36F	0	37
55	42F	0	52
49	44F	0	44
54	45M	52	0
53	48F	0	49
56	49B	53	53
52	37M	51	0
57	0	0	0
58	0	0	0
59	0	55	0
50	26B	49	46
